threshold,condition,clips,triggered_pct,median_coverage_pct,median_start_error_ms,median_end_error_ms
0.35,clean,36,100.0,100.0,-52.0,154.0
0.5,clean,36,100.0,100.0,-20.0,142.0
0.65,clean,36,100.0,100.0,-20.0,141.0
0.35,20dB,36,100.0,100.0,-52.0,207.0
0.5,20dB,36,100.0,100.0,-20.0,177.0
0.65,20dB,36,100.0,100.0,-20.0,167.0
0.35,10dB,36,100.0,100.0,-20.0,228.0
0.5,10dB,36,100.0,99.4,12.0,196.0
0.65,10dB,36,100.0,99.4,12.0,171.0
0.35,0dB,36,100.0,99.4,12.0,247.0
0.5,0dB,36,100.0,99.0,12.0,207.0
0.65,0dB,36,100.0,98.6,12.0,168.0
0.35,noise-only,36,0.0,0.0,0.0,0.0
0.5,noise-only,36,0.0,0.0,0.0,0.0
0.65,noise-only,36,0.0,0.0,0.0,0.0
